Cấp 1,Cấp 2,Cấp 3,Cấp 4,Cấp 5,Tên ngành VSIC 2018,Từ khóa nhận diện và phân loại gói thầu,Nhóm lĩnh vực phân loại lại,Lĩnh vực chi tiết trong đấu thầu (phân loại lại),
,,,,1463,"Chăn nuôi vịt, ngan, ngỗng","Chăn nuôi vịt, chăn nuôi ngan, chăn nuôi ngỗng, thịt gà thương phẩm, thịt ngan thương phẩm, thịt ngỗng thương phẩm",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,,1469,Chăn nuôi gia cầm khác,Chăn nuôi gia cầm,Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,149,1490,Chăn nuôi khác,Chăn nuôi,Nông nghiệp,"Ngành nông, lâm nghiệp",
,,15,150,1500,"Trồng trọt, chăn nuôi hỗn hợp","Chăn nuôi hỗn hợp, trồng trọt",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,16,,,Hoạt động dịch vụ nông nghiệp,,,,
,,,161,1610,Hoạt động dịch vụ trồng trọt,"Cung cấp giống cây trồng, Cung cấp hạt",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,162,1620,Hoạt động dịch vụ chăn nuôi,Cung cấp con giống,Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,163,1630,Hoạt động dịch vụ sau thu hoạch,"Phơi, sấy, lưu kho, đóng gói, bảo quản",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,164,1640,Xử lý hạt giống để nhân giống,Công nghệ sinh học,Nông nghiệp,"Ngành nông, lâm nghiệp",
,,17,170,1700,"Săn bắt, đánh bẫy và hoạt động dịch vụ có liên quan","Săn bắt, đánh bẫy",Nông nghiệp,"Ngành nông, lâm nghiệp",
,2,,,,Lâm nghiệp và hoạt động dịch vụ có liên quan,,,,
,,21,210,,"Trồng rừng, chăm sóc rừng và ươm giống cây lâm nghiệp",,Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,,2101,Trồng rừng và chăm sóc rừng cây thân gỗ,"Trồng rừng, chăm sóc rừng",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,,2102,Trồng rừng và chăm sóc rừng họ tre,"Trồng rừng, trồng tre",Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,,2103,Trồng rừng và chăm sóc rừng khác,Trồng rừng,Nông nghiệp,"Ngành nông, lâm nghiệp",
,,,,2104,Ươm giống cây lâm nghiệp,"Ươm giống cây lâm nghiệp, giống trồng rừng",Nông nghiệp,"Ngành nông, lâm nghiệp",
